document,sentiment_label,polarity,subjectivity
Simple and straightforward process but a lot of information and things to remember over the phone.,positive,0.19,0.37
Amazing service and job completed,positive,0.6,0.9
Goo service,negative,0.0,0.0
,negative,0.0,0.0
"The guy I spoke to was very helpful, give me a fantastic deal, and I'm looking forward to receiving my box .. the only downfall is the waiting time of just over two weeks but I'm sure it will be worth the wait.",positive,0.28,0.64
,negative,0.0,0.0
The work we have had done so far has been done to a high standard. Both the phone agent and the people who came to our house were very professional and polite. Would definitely recommend.,negative,0.08,0.43
Great service from Tony,positive,0.8,0.75
"Two days on what¬""s ap.",negative,0.0,0.0
"Spoke with several company people. My first contact was with steph who took extreme care to explain all the options available on a conversation that lasted over an hour. Many thanks steph. Following that I spoke with three more people as it became clear to my husband that the penalty fee for leaving BT put us in the invidious position, as pensioners, of not being able to proceed. I spoke with Ine who managed somehow to procure part of BT's despicable fee which finally allowed us to go ahead. Many thanks therefore to the people who helped.",positive,0.23,0.44
good but it is early days yet,positive,0.4,0.45
they where nice and pleasent aswell,positive,0.6,1.0
It is alright reasonably good,positive,0.7,0.6
,negative,0.0,0.0
,negative,0.0,0.0
On the phone was a helpful fella all my questions and got me up and running in very little time and better internet around my area,positive,0.13,0.57
,negative,0.0,0.0
Extremely helpful engineer on visit Jo 32725,negative,-0.12,1.0
"Dee, who took me through the ordering process, could not have been more helpful. She went over and above.",positive,0.25,0.3
,negative,0.0,0.0
Hood customer service,negative,0.0,0.0
,negative,0.0,0.0
"Mat was brilliant, followed up with me when I was advailabe. Really professional and plesent to deal with.",positive,0.5,0.55
"We have not been set up yet, but speaking to Ashley very informative and pleasant. On Saturday the chaps came a day did the road to house infrastructure, which was satisfactory. Today site management checked everything was installed satisfactory and we're we happy.",positive,0.58,0.76
,negative,0.0,0.0
,negative,0.0,0.0
They were friendly and easy to talk to. They understood what I wanted and happy to help.,positive,0.54,0.78
Tryed to get a phone,negative,0.0,0.0
Excellent customer service,positive,1.0,1.0
service was very good,positive,0.91,0.78
Professional service,positive,0.1,0.1
So easy to deal with,positive,0.43,0.83
"Higher speed than SKY.but connection disappointed.We have connected 3x TV,1 tablet ,3 mobile phones via WIFI but rubbish signal.Restarted router,lights are ok, WiFi poor.no good.Engineer was helpfull done his work correctly no complaint.",positive,0.3,0.4
"Very difficult to talk to anyone, very expensive, always an IT problem, too many calls, lots of mistakes took place with my name, dates leaving or moving in, misleading advertising in such that it appears cheaper than what it actually costs. Sorry if that is too negative, however this is an accurate reflection of company. You do however have fast and mostly reliable internet",negative,-0.05,0.61
It was explained so I could understand what was being said to me thank u to the lady I spoke to,negative,0.0,0.0
Friendly and efficient help,positive,0.38,0.5
,negative,0.0,0.0
"Because I've always had a good relationship with company,until I came across unhelpful customer service employee the rest is history.",positive,0.7,0.6
,negative,0.0,0.0
Easy to join company. With the most friendly advisor,positive,0.44,0.61
,negative,0.0,0.0
The advisor I spoke to was very helpful and explained things clearly also she was very friendly and really understood what I was looking for and how best too help me.,positive,0.4,0.37
"Polite. Could have be more skilled in providing guidance, eg: What is the minimum amount of broadband mbps working from home and video conferencing requires, instead of pretending to know.",positive,0.5,0.5
I was impressed with company but decided to stay with sky,positive,1.0,1.0
I have had a bad experience with your customer services I am not proceeding with installation,negative,-0.7,0.67
The customer service for a new customer was excellent.,positive,0.57,0.73
,negative,0.0,0.0
,negative,0.0,0.0
"Asking me about the service company Media supply, BEFORE I am connected is somewhat pointless. The Customer Support staff were very helpful , but the online mechanisms gave me a headache and I would certainly NOT recommend that mechanism to get a company Media service. Time will tells as to whether my score will increase.",negative,-0.05,0.46
Helpful advisor,negative,0.0,0.0
"The chap who dealt with me was friendly, professional and efficient. All my questions were answered promptly and I feel reassured that I will get good service in future.",positive,0.29,0.33
,negative,0.0,0.0
"I ordered my package online which was meant to be an easy process, through the online chat system I was told if I wanted to change the delivery address to give company a quick call and this would be amended. This resulted in 3 hours on the phone with customer services being put through to different operators, on 2 occasions my whole order was processed again although I explained that I had already done all this online and just wanted to change the address. The operators where both trying to be helpful and I appreciate that but the process was very draining and 3 hours is a ridiculous amount of time.",positive,0.14,0.61
Very bad,negative,-0.91,0.87
"friendly and good customer service, plus a suitable product and easy to sign up.",positive,0.51,0.67
Excellent on line service,positive,1.0,1.0
Was promised a call back to change direct debit details but no call received,negative,0.05,0.2
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
I'm extremely happy with how quickly you've got me up and running no messing about like Vodafone. I'd happily recommend you to anyone for a fast trouble free experience from start to finish thank you to all your team,positive,0.39,0.68
,negative,0.0,0.0
Great service good price,positive,0.75,0.68
"Very efficient, friendly but proffessional experience from initial phone call to fitting. Thankyou",positive,0.27,0.33
Friendly services,positive,0.38,0.5
Simple process with very helpful staff.,positive,0.1,0.33
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
Marco was very helpful,positive,0.2,0.3
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
"company Told me I had cable so was told to cancel sky on Tuesday as company was getting set up , company man turnt up and there¬""s no cable now have to wait more than 2 weeks with no internet, I have someone working from home that now can¬""t work and my daughter that is home schooled that now can¬""t do her lessons Thanks company I¬""m not even with you yet and I¬""m getting hassle¬¦!",positive,0.38,0.35
,negative,0.0,0.0
There was zero success support to get the service activated .it is almost 2 days without data and don't how many days more to go,positive,0.43,0.33
,negative,0.0,0.0
Very good service. Made a complicated thing easy.,positive,0.28,0.87
indian call centres,negative,0.0,0.0
Excellent service,positive,1.0,1.0
Confirmation procedure is strange Robot detection is pathetic Minute pictures American dialect! I am 77 and failing consistently to pass this fantastic test,negative,-0.08,0.46
"i am a new customer and my contract was cancelled without notifying me, only because box did not arrive that i called to see what was happening. had to wait another 3 days for box to arrive.",negative,0.07,0.73
The agent Sally has been extremely helpful and went the extra mile,negative,-0.06,0.55
Just felt treated better than with sky,positive,0.5,0.5
,negative,0.0,0.0
good customer service,positive,0.7,0.6
great service and good price,positive,0.75,0.68
"Polite, efficient installation thank you. Everything I would expect from company.",negative,0.0,0.0
Fast service and coverage,positive,0.2,0.6
Very helpful,positive,0.2,0.3
,negative,0.0,0.0
Daughters organised my means of communication at distance for my return to live to England. They used you. All went smoothly and quickly.,positive,0.29,0.5
Engineers helpful with someone not familiar with technology,negative,-0.19,0.5
"Absolutely awful sent me two HDMI leads no usb with plug for tele and box then had long winded messages to yourselves explaining they¬""d got it wrong then the woman said ok I¬""ll send a HDMI lead!!! I don¬""t need one I have two explained that again with another agent she apologised and I¬""ve come home to another HDMI!!! Lead seriously something wrong with people not doing their jobs properly absolutely shocking I¬""ve had to borrow a lead and plug, distributors not doing their job properly in packing, customer service not reading message properly then saying they¬""d got it right when clearly they haven¬""t, I¬""ve returned to company and was left to install everything myself and been charged a lot for my first bill it¬""s shocking",negative,-0.2,0.56
"My enquiry resolved, on time thought went through many unstackles",positive,0.5,0.5
,negative,0.0,0.0
Really friendly and experienced staff,positive,0.59,0.7
Clara was very helpful and extremely patient with all of my questions,negative,0.04,0.65
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
Happy with the price but yet to experience services,positive,0.8,1.0
Excellent service lovely representative Mathius,positive,0.75,0.88
Charlotta was very helpful,positive,0.2,0.3
Good service from engineer time will tell over standard of products,positive,0.35,0.3
,negative,0.0,0.0
Pleased with the Installation even after slight problems with dates for appointment which was sorted by the Manager.,positive,0.17,0.58
Quick service,positive,0.33,0.5
I scored 9 because if felt really comfortable with the person that spoke to me and he explained everything through out the conversation ðx_x0018_,positive,0.4,0.8
Good communication skills online got what I wanted and instalation was a breeze,positive,0.7,0.6
"Your agent was helpful and polite. His clear explanation of the process,a great help to me . was",positive,0.45,0.57
I still do not have connection and the line fault has been since the 24th. I have not been able to connect since getting the system,positive,0.5,0.62
"Helpful, easy to talk to, not pushy to get me to commit, good deals was willing to call me back when I was free. Patent when I was deciding on which deal I wanted explained everything I needed to know.",positive,0.36,0.6
"I have been blitzed with over 12 calls from company media in a week. When I ring back; one time my account could not be found. Each time I call, nobody can find a log of who called or the reason for my call. I¬""m not impressed. If it continues I will possibly cancel my order. Enough is enough",negative,-0.1,0.6
"Very professional, very kind and great customer service from the engineer",positive,0.57,0.63
The engineer who came for the installation was phenomenal.,positive,0.5,0.5
I phone company media on behalf of my cousin. He got broadband only. company media were very quick sending the box. We could not get it connected and company media sent an engineer the next day. Thank you company media.,positive,0.14,0.55
I was offered a package by Gem including Netflix that I accepted over the phone. When the email came through there was no Netflix. Despite repeated phone calls to company I was told it could not be added. And texts to Gem's mobile number went unanswered. I had already given notice to Sky so am stuck with you with the installation tomorrow. Terrible service.,negative,-0.55,0.6
Ally was very helpful after I joined I encountered an issue which she kindly resolved,positive,0.4,0.6
Good internet at the moment,positive,0.7,0.6
"Polite, knowledgeable call staff. Explained everything really .",positive,0.2,0.2
I joined newly and requested to change the package when I realised phone line is not included. The agent attended to me very well but those in charge of email kept sending me the earlier package. This must improve.,positive,0.11,0.42
,negative,0.0,0.0
Two very helpful ladies,positive,0.2,0.3
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
The process was pretty easy,positive,0.34,0.92
It took one & a half hours to sign up I'm 80 yrs old & found the experience exhausting !,negative,-0.19,0.29
Very informative,positive,0.2,0.3
Relatively straightforward,positive,0.38,0.38
The choice of options were unhelpful and it was very difficult to find the options I wanted. I received 4 different sets of documents by text message and 1 set by email I had to get things I didn't really want or need to make the cost bearable.,negative,-0.15,0.6
Adviser was friendly and helpful.,positive,0.38,0.5
after receiving my order company have been very efficient in preparing for Broadband installation.,positive,0.2,0.3
"On the 13th March I ordered with Supanet, I contacted them again on the 3rd April to found out when I could expect my broadband, they had no answers, I immediately cancelled the order and contacted company sales, I spoke with a very helpful gentleman who informed me company would have me up and running in 2 days the 5th April, I immediately confirmed my order. Today is Wednesday 5th April I have received my parcel from company and my broadband is all connected, well done company, excellent service",positive,0.32,0.46
Angie explained it to me well,negative,0.0,0.0
"You wouldn¬""t not let be add my referral link after set up",negative,0.0,0.0
"When I made my choice to have company supplied to my new home I was lucky enough to have Niccy on the phone I¬""m not a young person so sometimes one can get confused with technology, she explained everything in great detail she is a credit to your company and I thank her very much we have not received our kit as yet but I¬""m sure it¬""s on its way",positive,0.2,0.6
"After registering for the Volt M250 Broadband plus 02 sim I received a pre contract CSS with the correct details, then a message that said: 'You bought: M50 plus landline.' It took an hour on the phone to customer services to correct this. But the last message I got said 'Let's lock this in' and although the attached CSS contract has the correct M250 entry it is different from my pre contract CSS as it has a £30 fee added that shouldn't be there, it does not have the Wi-Fi hub listed under Broadband services, and it is missing the details of what minimum speeds to expect, etc. I contacted customer services again and asked them to rectify these errors and send me the amended contract. I got a message that my first bill will be £39.98, but I am still waiting for the amended contract.",negative,0.01,0.26
Easy setup call handler was very helpful,positive,0.32,0.57
Very friendly and knew what she was doing,positive,0.49,0.65
,negative,0.0,0.0
"Good service¬""s",positive,0.7,0.6
,negative,0.0,0.0
Am happy with everythin,positive,0.8,1.0
"The agent who set up my account ,said she would give us £150 and free Netflix , she never did , I was on the telephone for 6 hours to 12 different agents to try to resolve the new account and to receive what the agent said she would give us for signing up to a new contract. It is beyond comprehension how some of your staff can be fundamentally dishonest. After the 6 hours and speaking to 12 different people who to be honest had not a clue what I was talking about , I finally got through to a agent called Cory who eventually tried to sort the total mess out . Very very disappointed,I was with sky for 12 years and had no problems ,but I wanted to leave because of cost . Then the same day someone appeared at my door and said where would you like us to put the cable ,I was unaware anyone was coming to put in a cable .Communication between your agents and customers is total unacceptable .",negative,0.08,0.57
,negative,0.0,0.0
I've only just ordered my package from company and it won't be up and running until the 22nd April. I need to see how good it is before I can give top marks.,positive,0.4,0.7
Everyone was extremely helpful,negative,-0.12,1.0
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
First contact is so important when you are signing up for a new service. My signing up was felt with in a very friendly and professional way .,positive,0.27,0.51
The broadband package is tempting and the customer service was excellent.,positive,1.0,1.0
This is due to the outstanding customer service shown by a company rep called Clara who delivered a customer satisfaction master class. I will be sending an email of praise in the coming days about her.,positive,0.19,0.62
good response,positive,0.7,0.6
Very good,positive,0.91,0.78
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
,negative,0.0,0.0
The person who talked me through what was going to happen was very patient and talked me through all that wÃ¡s happening.,positive,0.2,0.3
Strange company,negative,-0.05,0.15
Very hardworking and punctual quits who carried out the work,positive,0.2,0.3
"Helpful, pleasant, polite, made sure I understood the contract",positive,0.62,0.93
Very polite and professional people who sorted my package out for me,positive,0.15,0.2
I've not agreed to any of this yet I'm bombarded with emails that you cannot reply to and setting up direct debits without my knowledge,positive,0.1,0.4
My experience trying to cancel my contract in the 14day cool off was awful. The overseas call centre was very rude & unhelpful,negative,-0.35,0.81
The engineer that attended my house was very friendly with great sense of humour,positive,0.64,0.7
"All good, but I never give 10 for anything.",positive,0.7,0.6
"I want to cancel but you don¬""t allow me to.",negative,0.0,0.0
"Because you keep sending me emails even after I delete them because I don¬""t want to answer",negative,0.0,0.0
A good range of products at affordable prices,positive,0.7,0.6
"Lady was so nice on the phone as I don¬""t know much about Internet",positive,0.4,0.6
Rep talked far to quickly for us to take everything in so we had to keep stopping him but we got there in the end.,positive,0.22,0.75
Good communication and easy for me to solve my net problem. Very helpful attitude.,positive,0.33,0.43
The CS agent and engineer were superb. Installation was super quick. Great service.,positive,0.62,0.73
installation man was very good,positive,0.91,0.78
Customer service was great and the engineer Lucas was brilliant credit to the companyðxÜðx_x0018_ðx¾,positive,0.85,0.88
Very helpful customer service - Rosie was a total star - and easy-to-install setup,positive,0.1,0.53
"I called to join as a new customer while moving to a new property which I was in the process if buying. I spoke to Marco ] who was extremely useful. He assisted first with selecting a package, followed then by contacting my seller to prompt to let company know about switching off their service at that property. I called back when confirmed with the seller exchange dates a week or so later using Mark's number provided. Mark remembered my conversation from a week ago, despite speaking to many people in the time between. Once again Mark provided absolute pristine customer service, and without Mark's assistance on the first call you never know whether I would have continued with company or looked for other options. Thank you!",positive,0.18,0.4
Very polite and friendly,positive,0.29,0.4
"Poor customer service!!!!!!! I¬""ve been told twice I¬""d get a call back but nothing has happened. Your website says all sky channels in HD?? Sky sports is not¬¦very misleading for customers.",negative,-0.5,0.3
good lady on the phone today .,positive,0.7,0.6
,negative,0.0,0.0
I had a very competent representative guide me through joining companyia media.,positive,0.65,0.87
Although the initial inquiry was very smooth problems have arisen and are ongoing,positive,0.26,0.33
,negative,0.0,0.0
Excellent service and politeness,positive,1.0,1.0
The guy that came to install company media at my home was very pleasant and helpful I would recommend company media to my friends and family,positive,0.95,1.0
Good friendly service quick and easy,positive,0.46,0.61
Good value reasonable prices,positive,0.45,0.6
Excellent service offed by the front desk,positive,1.0,1.0
Very helpful and positive response when I rang to set up broadband - thank you.,positive,0.21,0.42
Very friendly and knowledgeable,positive,0.49,0.65
To much pressure to Join so I cancelled,positive,0.2,0.2
Jake the representative for company was simply above and beyond helpful and done everything for me with ease,negative,0.0,0.1
Good customer service,positive,0.7,0.6
"You keep sending me messages for a completely different person, you tell me my equipment has been delivered, NO it hasn¬""t, the emails have the totally wrong price on them so am NOT impressed at all, so where we go from here I don¬""t know",negative,-0.33,0.83
Very efficient and Friendly Service,positive,0.29,0.4
Very fast and very good,positive,0.58,0.78
Cut my Internet off . Asked for router to be sent after 5.00 tracker shows between 10 and 12,negative,0.0,0.0
I've been happy with the service from employees both on the telephone and the engineer who installed the equipment and it seems I'm getting more for my money.,positive,0.65,0.75
"He is very helpful, friendly, intelligent, skilful and nice gentleman",positive,0.49,0.68
Na,negative,0.0,0.0
Very help full got a great deal can't wait to install the broadband,positive,0.45,0.53
"You keep sending me messages for a completely different person, you tell me my equipment has been delivered, NO it hasn¬""t, the emails have the totally wrong price on them so am NOT impressed at all, so where we go from here I don¬""t know",negative,-0.33,0.83
"Excellent advice in your contact centre, Very prompt contact from your installation agents (the day after our order was placed).",positive,0.6,0.65
"Niccy, who answered this number Was absolutely brilliant, helped in every single way she possibly could and resolved the issues I was facing with regards to installation. Please can you make sure that she is aptly rewarded for her service as it was impeccable!",positive,0.48,0.81
,negative,0.0,0.0
"Excellent service from the get go, the gent I spoke to on the phone, and the guy who did the installation were superb. I can¬""t remember their name though.",positive,1.0,1.0
"Ever since signing up its been nothing but a pain trying to sort out the sim card. company didnt seem to understand how i get seamlessly from my existing 02 sim card to the new one i signed up for, having to make up new email adresses and things. Got sent 2 sim cards which was wrong, then it was an ordeal trying to get company to understand the sutuation and they didnt know how to sort it out, i was to be charged for 2 and thats it. The person i spoke to even had the audacity to try and sell me a big multi sim card deal!! I only want one, the one i signed up for, not the 2 i was sent or any more on top of it. Eventually spoke to 02 and they were sound",positive,0.14,0.49
,negative,0.0,0.0
"Ordered Thursday 20th April and was sent a confirmation for delivery Monday 24th. Delivery was late so I called up on Friday 28th, and was informed that my order had not gone through. Had to order again over the phone, with another credit check, and soonest delivery Tuesday 2nd May.",negative,-0.1,0.2
,negative,0.0,0.0
,negative,0.0,0.0
Very adaptable and patient/ helpful,positive,0.2,0.3
"The agent was very polite and helpful, but I am wondering why he hasn't sent me the contract papers with the details as he promised. I also like to remind him of one month free plus six months £15.00",positive,0.3,0.55
Helpful,negative,0.0,0.0
"I am impressed by the tv and broadband deal. But I was promised 10g of data with 02 and I only have 5. I was also told that there would be no hard searches on my credit record and that wasn¬""t true either.",positive,0.37,0.8
"Good price it¬""s the only reason I guess after the 18 months when you want to charge me more is when I shall go back to sky It¬""s mad but has to be done",positive,0.11,0.62
Really really helpful,positive,0.2,0.2
Customer service was excellent,positive,1.0,1.0
All requirements were met with courtesy and helpfulness and promptness. I was informed of all I needed to know.,negative,0.0,0.0
,negative,0.0,0.0
Agent was very helpful in setting me up with the new broadband a true gent,positive,0.23,0.47
Very friendly staff and accommodating,positive,0.49,0.65
Very pleased with detailed information and quick and efficient service.,positive,0.46,0.75
Price better than sky Better broadband speed Easy transition Agent was a great sales assistant . Instalation date quick. Happy with service. Looking forward to my company package.,positive,0.56,0.68
Awful !!,negative,-1.0,1.0
,negative,0.0,0.0
The gentleman jack kindly got me a good priced package and explained everything well.,positive,0.65,0.75
,negative,0.0,0.0
"Is a good service but trying to get to talk to a human person is really hhard , the people you use do not use very good english therefore were not easy to communicate with",positive,0.27,0.42
"Package looks competitive but I opted to support company representative and missed out on voucher offer of £160 - which isn¬""t good. Also my referrer is struggling to access account as their password reset isn¬""t working.",positive,0.7,0.6
The router did not cover the whole of the house so computer at back of house ran very slow. Also would need to keep answer phone and hive hub in front room - not good. When I rang to cancel I was told there was at least a 7 day delay that I was going to have to pay for - even though I was cancelling the very next day after activation the service. I was also told there was a high connection charge - which was not the case for when I registered for the service I was told there would be no connection charge. When this was pointed out the telephone operator checked and agreed there was no connection charge but I would be paying for the service for the next seven days at least. I am not happy about this - I used the service for two days at most - the day it was activated and the day it was cancelled. (wed 3rd May and Thursday 4th May) and I didn't even connect up the TV or use the company tv box.,negative,-0.07,0.36
Long installation times and misleading text messages from you.,negative,-0.05,0.4
,negative,0.0,0.0
,negative,0.0,0.0
"Easy process although did have to go through the same questions a few times and original contact never got in touch when he said he would. Hopefully, once installed, it will be a great experience.",positive,0.28,0.51
,negative,0.0,0.0
Best broadband,positive,1.0,0.3
"They are helpful, reliable and stick to their work. The man who answered my request was caring and efficient. I will say more once my WiFi is installed but that will not be for another 2 weeks. I have used company Media for over 8 years!",positive,0.62,0.5
,negative,0.0,0.0
,negative,0.0,0.0
Good service much cheaper than sky,positive,0.45,0.4
Good internet connection,positive,0.7,0.6
,negative,0.0,0.0
Agent was very helpful from start to finish and made sure we got the right package for us at the best price.,positive,0.5,0.51
not easy to speak to any one if you have a problem,negative,-0.22,0.83
"Poor customer care, told to wait in for an engineer so did so all day and nobody arrived and no call to tell me this was going to happen.",negative,-0.4,0.6
"Agent that came was very polite and helpful, although I told them on phone I had no boxes or wires in the house for a quick set up, he wasn't allocated enough time, he stayed and solved the problem and explained how everything worked.",positive,0.18,0.43
"Your customer service is awful and you really need to ditch the overseas call centers. Kindness and understanding in the voice go a long way. You can feel the contempt in operator voices (sniggering and laughing when you say you cannot understnd what they are saying - feels intentional) and cannot quite get all of the words due to very strong accents. Your only saving grace is the physical connection and stability of that. Thankfully, because connection quality is good I rarely (if ever - Thank Goodness) have to contact your call centers. Would not touch with a barge pole otherwise. Take a look at Now Broadband whos operators are absolutely marvellous. Lessons learned or brushed under the carpet? Haha",negative,0.08,0.57
,negative,0.0,0.0
Very polite engineer who consulted every step and very patient,positive,0.2,0.3
,negative,0.0,0.0
Very helpful and informant,positive,0.2,0.3
,negative,0.0,0.0
"The Engineer that visited to install the cable was exceptionally good, personable, a very good communicator, and most importantly didn't stop the installation when faced with obstructions, but rather, he overcame the obstructions to ensure the installation was completed. To elaborate, there was a hedge against the wall where the cable had to come through, most modern day engineers would stop the job at that point and cite the hedge as an obstruction, but not Stevie, he got in to the hedge to ensure the job got done. I was really impressed.",positive,0.59,0.71
Polite and helpful phone staff that reached out and made an extra effort to call me back and help me move my Internet address when I hadn't even requested. They knew to reach out because of me searching the post code of the next address via company media website. They went out of their way to help me change account details as well and was very kind.,positive,0.2,0.28
Fantastic customer experience,positive,0.4,0.9
,negative,0.0,0.0
Quick and prompt friendly service,positive,0.35,0.5
"The colleague who called me was very polite, professional and efficient. I would recommend company to anyone if I knew he was the one setting them up.",positive,0.15,0.2
,negative,0.0,0.0
"Lady rang me when promised,helpful & friendly",positive,0.38,0.5
,negative,0.0,0.0
"I have had to call company everyday. 15/05/23 spoke to at least 10 different people in 10 different departments. Each time having to re-explain the situation, one member said yes they can activate internet but in a different department, got to that department they said it couldn't be done... No manager was available to talk to. I have been told activation will happen on 3 different dates due to companys delays. This has caused me to loose wages from work as I work from home and rely on the internet to work. My son is disabled and uses the internet to communicate, so has had 3 days of non communication so far. I am speaking to other suppliers and will be cancelling with company within my 30day cooling off period. I will not under any circumstances recommend company and I will be publishing my experience on social media. You need to get your departments organised, leadership needs to be held accountable and staff clearly need more adequate training.",negative,0.03,0.46
James was very helpful and help me get the best package for the family. Can't wait for the 31st May for full installation only wish it was sooner.,positive,0.39,0.54
"The service was fabulous,",positive,0.4,1.0
"Everything was made extremely clear. The agent I dealt with was polite and friendly and when promised a call back, actually did so as planned.",positive,0.12,0.25
Very helpful agent clearly stated everything I needed to know and took me through the whole process in a polite and professional manner stating when the service would start and when to expect my equipment.,positive,0.15,0.3
,negative,0.0,0.0
Very polite and helpful when I got to speak to somebody,positive,0.2,0.3
,negative,0.0,0.0
"I have found that the service so far has been very good. However in my research, once services are in the evaluation of company customer service responding to issues is quite poor. This worries me so will reserve judgement.",positive,0.2,0.79
"The customer service is Excellent from when i was a customer, thats why i left but now i'm crawling back haha",positive,0.3,0.33
Because a man who spoke with me was so polite and helpful,negative,0.0,0.0
Fantastic customer service!,positive,0.5,0.9
Coz Davie was lovely. Great salesman¬¦ local to me¬¦ I just hope you can maintain the excellent customer service that was given to me during our call. As a previous customer of company¬¦ then¬¦ the customer service was absolutely pants!,positive,0.4,0.59
Friendly & patient staff there to assist. Always kept informed of what was going on at all times. Great service.,positive,0.59,0.62
"Great value for money and friendly helpful customer service, not had installation yet so can¬""t comment on much, so far so good",positive,0.49,0.71
,negative,0.0,0.0
"Customer service excellent,polite and extremely helpful .",negative,-0.12,1.0
"Angie's customer service was excellent -- he took me through all my options in a clear and comprehensive way, made sure things got sorted really quickly, and was super friendly to talk to.",positive,0.44,0.66
The technician was excellent,positive,1.0,1.0
I have been a customer for over 20 years and have always had a very good service from you.,positive,0.91,0.78
"Representative very helpful, gave good advice, understood my needs",positive,0.45,0.45
